price,status,items_sold,shipping,name,free_returns
39799,Brand New,156,,🔥!BRAND NEW Microsoft Xbox Series S and X Gaming Consoles - Pick Your Model!🔥,True
105000,Brand New,,3000,New ListingXbox Series X Halo Infinite Limited Edition Bundle *CONFIRMED PRE SALE ORDER*,False
,,,,,False
71000,Pre-Owned,,6395,Microsoft Xbox Series X 1TB Video Game Console - Black,False
58600,Pre-Owned,,4110,"Microsoft Xbox Series X 1TB Video Game Console - Black, all original packaging",False
32500,Pre-Owned,,1728,Microsoft Xbox Series X 1TB Video Game Console - Black  FOR PARTS! (BROKEN!) ,False
72000,Pre-Owned,,0,Microsoft Xbox Series X 1TB Video Game Console - Black,False
67000,Open Box,,0,Microsoft Xbox Series X 1TB Video Game Console - Black - Opened Box,False
83000,Pre-Owned,,3500,"New ListingMicrosoft Xbox Series X 1TB Video Game Console - Black, sparely used",False
77000,Pre-Owned,,0,Microsoft Xbox Series X 1TB Video Game Console - Black,False
80000,Brand New,,0,New ListingMicrosoft Xbox Series X 1TB Halo Infinite Limited Edition Console PREORDER,False
62500,Pre-Owned,,0,Microsoft Xbox Series X 1TB - Black - Lightly Used - FREE SHIPPING,False
84000,Brand New,,4330,New ListingXbox Series X Halo Infinite Console Bundle 🔥CONFIRMED PRESALE🔥 **SEALED** ✅,False
66000,Pre-Owned,,2000,Xbox Series X / Xbox Series X kit,False
84000,Brand New,,2500,Microsoft Xbox Series X - 1TB Video Game Console-Black Sealed Ships Fast 🚚,False
73789,Brand New,,0,New ListingMicrosoft XBOX Series X 1TB Game Console Black - Fast Free Shipping- Brand New,True
48500,Pre-Owned,,2000,New ListingMicrosoft Xbox Series X 1TB Video Game Console - Barely Used System,False
92000,Brand New,,5000,New Listing~*~ Xbox Series X 1TB Console Halo Infinite Limited Edition Bundle RARE Pre-Sale,False
85000,Brand New,,0,Microsoft Xbox Series X 1TB Video Game Console - Black,False
67500,Pre-Owned,,12215,Microsoft Xbox Series X 1TB Video Game Console - Black,False
63000,Pre-Owned,,5800,Xbox Series X (console & power cable only) Ships in Original Box,False
85000,Brand New,,1704,NEW UNOPENED Microsoft Xbox Series X 1TB Video Game Console - READY TO SHIP,False
89995,Brand New,,0,Microsoft Xbox Series X 1TB Video Game Console - Black,False
86999,Brand New,,2499,Microsoft XBOX Series  X 1TB Game Console Black - Fast Shipping - Brand New,False
81000,Brand New,,1529,🔥Xbox Series X – Halo Infinite Limited Edition Presale Order Confirmation🔥,True
70000,Pre-Owned,,4750,Microsoft Xbox Series X 1TB Video Game Console - Black,False
57500,Pre-Owned,,2500,Barely Used Microsoft Xbox Series X Console w/ BONUS Elite Controller + Hyper X,False
65000,Open Box,,0,XBOX Series X 1TB SSD Console #M628,False
89999,Brand New,,0,Brand New Sealed Microsoft Xbox Series X Ship Fast,False
72289,Open Box,,0,New ListingMicrosoft Xbox Series X 1TB Video Game Console - Black - Ready to Ship,True
61000,Open Box,,3200,Xbox Series X 1TB Video Game Console - Black,False
78000,Brand New,,4240,Microsoft Xbox Series X 1TB Video Game Console - Black (NEW),False
65000,Open Box,,6590,Microsoft Xbox Series X 1TB Video Game Console - Black,False
110000,Brand New,,2185,New ListingXbox Series X Halo Infinite Limited Edition Bundle + Elite Controller *Pre-sale*,False
85000,Brand New,,,Microsoft Xbox Series X 1TB Video Game Console - Black *READ DESCRIPTION*,False
87999,Brand New,,0,Microsoft Xbox Series X Console - QUICK FREE SHIPPING,False
150000,Open Box,,2000,Microsoft Xbox Series X 1TB Video Game Console - Black,False
66000,Pre-Owned,,4000,Microsoft Xbox Series X 1TB Video Game Console - Black,False
75000,Open Box,,600,Microsoft Xbox Series X 1TB Video Game Console - Black ,False
78000,Pre-Owned,,2000,Microsoft Xbox Series X 1TB Video Game Console - Black,False
68000,Pre-Owned,,2499,Microsoft Xbox Series X 1TB Video Game Console with Controller Batteries Charger,False
90900,Brand New,,0,Microsoft Xbox Series X 1TB Console with Extra Wireless Controller - Shock Blue,True
90000,Brand New,,3500,Xbox Series X 1TB Bundle with PDP Ultra Slim Charger and RIG 400 Wired Headset,False
68600,Pre-Owned,,2500,Microsoft Xbox Series X 1TB Video Game Console - Black,False
92000,Brand New,,9074,Microsoft Xbox Series X Console Halo Infinite Bundle 11/15 Release Date 🔥🔥🔥,False
78000,Brand New,,4500,🚀Microsoft Xbox Series X 1TB Video Game Console - Black - IN HAND*BRAND NEW *🎮,False
72099,Brand New,,0,Microsoft Xbox Series X 1TB Video Game Console - Black,False
77000,Open Box,,6714,Microsoft Xbox Series X 1TB Video Game Console - Black OPEN BOX EXTRA CONTROLLER,False
86100,Brand New,,3500,Xbox Series X Halo Limited Edition Bundle PRESALE CONFIRMED ORDER,False
76100,Parts Only,,3055,AS-IS Microsoft Xbox Series X 1TB Video Game Console - Black,False
57500,Pre-Owned,,0,Microsoft Xbox Series X 1TB Video Game Console - Black Plus Controller and HDMI ,False
69000,Pre-Owned,,3465,Xbox Series X console used excellent condition W/ Red Camo Controller US Seller!,False
71000,Brand New,,3999,Microsoft Xbox Series X 1TB- 🦭 NEW SEALED 🦭- IN HAND - Fast Ship 💨 💨,False
109999,Brand New,,1700,Microsoft XBOX Series X 1TB Game Console Black - FREE SHIPPING - BRAND NEW,False
92599,Brand New,,3135,Microsoft Xbox Series X 1TB Video Game Console Bundle 🔥,False
,,,,,False
